user_id,name,email,password,status,role,token,s_id,s_name,s_email,s_mobile,s_photo,s_gender,s_category,s_edu_qua,s_parent_name,s_parent_mobile,s_parent_occupation,c_id,c_name,c_fees,c_duration,ad_id,ad_fees_status,f_id,amount_paid,payment_date,payment_method,inq_id,inq_query,f_message,department_id,department_name,head_of_department,faculty_id,faculty_name,faculty_email,faculty_phone,document_id,document_type,upload_date,file_path,scholarship_id,scholarship_name,eligibility_criteria,scholarship_amount,award_id,awarded_date,application_id,company_name,application_date,placement_status,allocation_id,job_position,salary_package,joining_date,Volunteer_Experience,Internship_Experience,Online_Certifications_Count,Sports_Achievements,High_School_Percentage,Higher_Secondary_Percentage,Entrance_Exam_Score,Previous_GPA,Number_of_Backlogs,Hackathon_Participation,Online_Courses_Completed,Number_of_Backlogs,Dropout_Risk,Final_Admission_Status,Scholarship_Granted
11,Dr. Jessica Coleman DVM,zwood@gmail.com,y4wE5k(n%5,1,0,739ad853-dd77-4ff3-b52a-466c53630691,11,Paul Hernandez,jnguyen@brown.com,(193)345-0381x6793,https://www.lorempixel.com/179/200,2,OBC,PhD,Amanda White,001-350-666-2805,Other,11,Civil,89106,3 Years,11,1,11,161342,2025-01-06,Debit Card,11,Down husband seat act either almost.,White available teach act start camera hundred.,11,Engineering,Mitchell Bennett,11,Melissa Miller,annharris@hotmail.com,001-428-864-7302,11,Transcript,2025-02-12,/federal/author.ppt,11,Sports Quota,Toward owner reflect again.,41636,11,2025-01-26,11,"Watson, Reyes and English",2025-02-07,0,11,Manager,100 LPA,2025-01-10,Yes,No,3,No,70.89,56.1,65.35,3.1,2,No,8,2,High,Waitlisted,Yes
12,Ryan Rhodes,udaniels@clements-park.com,J37WRDjb%%,0,0,4ef5f1c3-d323-4b81-a2b5-3575e3f3405b,12,Hannah Vargas,hernandezadam@kelley-goodman.com,387-546-4851,https://placekitten.com/426/920,1,ST,Bachelor's,Beth Carter,001-986-305-6115,Teacher,12,Computer Science,53633,4 Years,12,1,12,53719,2025-02-06,Net Banking,12,Protect network of discussion heart.,Before address stay fear at sea brother design.,12,Arts,Misty Leach,12,Miguel King,kayla02@jones.com,001-170-182-7457x5830,12,Resume,2025-01-11,/condition/though.wav,12,Sports Quota,Look brother from particularly information stand return.,11101,12,2025-02-07,12,"Sanchez, Roberts and Miller",2025-01-31,1,12,Manager,12 LPA,2025-01-28,Yes,No,0,No,68.31,87.21,81.76,2.28,5,No,17,5,High,Waitlisted,Yes
13,Toni Pierce,ruizpatricia@gamble.net,Yeq53DJw%p,1,1,e29d73f9-11a8-44dc-aa82-ef8ad3b40ca9,13,Mary Wright,xsmith@gmail.com,(918)684-2999,https://www.lorempixel.com/114/439,2,ST,Master's,Nicole Foley,964-879-8784x5446,Teacher,13,Biotech,5000000,3 Years,13,0,13,10000000,2025-01-05,Debit Card,13,Bad bring quite response tell own address.,Suddenly itself relate magazine relationship six recognize sound.,13,Arts,Susan Spencer,13,Julie Hill,christopher60@robinson.com,162-961-6351x970,13,Resume,2025-01-26,/news/friend.jpeg,13,Need-Based,Its never after north attention speak.,500000,13,2025-01-10,13,Hawkins-Brown,2025-01-23,2,13,Software Engineer,100 LPA,2025-01-29,Yes,Yes,5,Yes,56.19,89.28,124.28,2.41,3,Yes,17,3,High,Waitlisted,Yes
14,Theresa Knight,kristinpearson@schmidt-clark.net,Bb9MUc7f5@,0,0,773beff5-3ed0-49ca-a21a-c8a5c9e12ccb,14,Chad Perkins,rcortez@yahoo.com,(899)612-2994,https://www.lorempixel.com/374/153,2,ST,PhD,Johnny Wise,353.870.3710x8767,Other,14,Computer Science,5000000,3 Years,14,0,14,10000000,2025-02-10,UPI,14,Off investment future exactly above black physical.,Medical to relationship action phone behind.,14,Commerce,Dawn Hull,14,Amanda Sparks,arthurward@yahoo.com,(884)017-0584,14,ID Proof,2025-02-03,/difficult/film.mov,14,Sports Quota,Water surface two morning share.,500000,14,2025-02-13,14,Perez-Cole,2025-02-13,2,14,Manager,100 LPA,2025-01-26,Yes,No,9,No,66.81,81.65,113.79,3.52,1,No,6,1,Medium,Rejected,Yes
15,Nathan Ellis,wilsonelizabeth@richardson.info,%!Qk$Lt@7c,1,0,12c534e9-a24b-47c2-8c10-9cfa37e9c407,15,Jordan Burton,janet98@hotmail.com,056.895.5264x3072,https://placekitten.com/782/192,0,General,Master's,Kimberly Young PhD,001-805-276-5645,Engineer,15,Electronics,135273,4 Years,15,0,15,93473,2025-02-09,Net Banking,15,Your woman effort range subject relationship.,Development way have certainly care.,15,Commerce,Cathy Pitts,15,Shannon Jacobs,cynthia52@beasley.net,+1-242-087-9284x35482,15,ID Proof,2025-02-05,/floor/particularly.pptx,15,Need-Based,Foot final just individual.,32060,15,2025-02-03,15,Ortega-Bryan,2025-02-07,2,15,Intern,100 LPA,2025-01-07,No,Yes,2,Yes,56.29,70.16,149.35,2.22,4,Yes,12,4,Low,Waitlisted,Yes
16,Jennifer Mooney DDS,griffinmichelle@hotmail.com,(49w+Vg)j7,1,2,7a2be0b0-bdde-469e-8e5b-bbf2bc7057ed,16,Zachary Boyer,woodjill@wells-jones.biz,(443)526-0854,,2,ST,PhD,Dr. Bethany Ray,998-169-3589x947,Teacher,16,Biotech,5000000,2 Years,16,0,16,10000000,2025-02-07,Debit Card,16,Shoulder reason ready.,Official wait them.,16,Engineering,Ralph Little,16,Brian Alexander,ywade@clay.com,(647)944-9267,16,Transcript,2025-02-01,/describe/think.png,16,Sports Quota,Prepare program technology.,500000,16,2025-01-30,16,Simpson-Haas,2025-01-04,1,16,Intern,12 LPA,2025-01-26,Yes,No,8,Yes,79.39,90.86,41.8,3.9,3,Yes,3,3,Low,Accepted,Yes
17,Thomas Cole,nicholas49@clark.com,%J2GCNSeH7,1,1,dba19d61-01bb-4d0b-a3a6-242a037f6771,17,Christopher Alvarado,kathycampos@hotmail.com,252.734.7823,https://placeimg.com/152/120/any,2,OBC,Bachelor's,Debra Evans,206-013-4523x0372,Engineer,17,Computer Science,5000000,3 Years,17,0,17,16031,2025-01-18,UPI,17,Front fear push doctor low recently consider the.,General knowledge clear adult reduce.,17,Engineering,Samantha Rodriguez,17,Megan Kim,andreaboyd@mclaughlin.com,001-974-506-6062,17,Resume,2025-01-14,/center/tax.jpeg,17,Sports Quota,He American church car road within.,500000,17,2025-02-03,17,Mcbride-Gilbert,2025-01-31,0,17,Data Analyst,4 LPA,2025-02-10,Yes,Yes,4,Yes,66.57,NULL,44.08,2.74,1,No,2,1,Medium,Waitlisted,Yes
18,Dennis Genn,gdennis@hotmail.com,@04Z)buRSc,0,1,6254f0f6-fbc7-473e-868f-2a9ca6507952,18,Cory Barker,mary21@smith-carlson.org,434.347.7108,https://placeimg.com/725/784/any,1,SC,Bachelor's,Michelle Hall,+1-205-896-3740x193,Business,18,Electronics,69876,3 Years,18,0,18,10000000,2025-02-02,Net Banking,18,Listen it impact value.,Another side it address later political.,18,Arts,Jacqueline Gallagher,18,Donna Warren,skennedy@guzman-crawford.biz,001-300-699-7855x32581,18,ID Proof,2025-01-25,/lead/left.wav,18,Sports Quota,Form place hit usually clear inside born.,31292,18,2025-01-06,18,Nunez PLC,2025-01-15,2,18,Data Analyst,5 LPA,2025-02-08,No,No,4,No,99.4,70.02,171.1,2.82,2,Yes,18,2,High,Accepted,Yes
19,Joshua Pearson,jenniferlogan@moyer.net,^_3rGRMk*k,1,2,b9113117-dd0f-4ca9-bf73-cf1c3b88b4d4,19,Cynthia Moore,silvakeith@robbins.com,199.303.8241,https://placeimg.com/79/683/any,1,OBC,PhD,Angela Brown,+1-678-694-2460x45927,Business,19,Computer Science,184494,3 Years,19,1,19,10000000,2025-01-29,Credit Card,19,Edge skin conference seat while agency conference.,Along song face find thought.,19,Engineering,Steve Velazquez,19,Jennifer Griffin,andersontina@yahoo.com,(890)429-2896,19,Other,2025-02-11,/federal/industry.json,19,Merit Scholarship,Deep question peace catch early dog kind.,500000,19,2025-01-31,19,"Griffin, Matthews and Peterson",2025-01-10,2,19,Software Engineer,12 LPA,2025-02-08,No,Yes,6,Yes,68.01,68.62,156.43,3.51,3,Yes,2,3,Medium,Rejected,Yes
20,John Lopez,lisapennington@yahoo.com,r!5roL6o9O,1,0,a2128ba8-b822-4776-8dd0-1077a86f7ee8,20,Daniel Griffin,jasonjackson@davis-watson.net,001-869-816-6424x1996,https://www.lorempixel.com/127/622,1,OBC,PhD,Bobby Vasquez,001-995-436-7258x44413,Other,20,Biotech,5000000,2 Years,20,0,20,163674,2025-01-21,Debit Card,20,Everyone represent grow space trade economic outside life.,On management soldier read growth participant.,20,Engineering,Rebecca Williamson,20,Alexander Taylor,zmcdaniel@chase-porter.com,(778)172-7464,20,Resume,2025-01-24,/quickly/town.mp3,20,Need-Based,Event like run spring suddenly person.,500000,20,2025-01-05,20,Bender-Harvey,2025-01-17,2,20,Data Analyst,100 LPA,2025-01-21,Yes,Yes,4,Yes,85.29,98.11,163.55,3.82,5,Yes,12,5,Medium,Rejected,Yes
21,Debra Harris,lsmith@cooper.com,%7oCLocL$D,0,0,1e5559f7-6bf2-4f4d-bb77-b82b4a9a0604,21,Andrew Ramirez,gwilliams@yahoo.com,001-416-793-3685x50123,https://placekitten.com/249/437,0,SC,Bachelor's,Wayne Romero,+1-265-226-7139,Other,21,Mechanical,5000000,2 Years,21,0,21,10000000,2025-02-03,Credit Card,21,Him prevent central name exactly forward.,Ok describe hundred last establish see.,21,Science,Kara Cortez,21,Erica Martin,luis35@yahoo.com,719.662.2148x2460,21,Resume,2025-02-12,/much/character.mp4,21,Need-Based,Including force though son hair day.,500000,21,2025-01-05,21,Wright-Cruz,2025-02-08,2,21,Data Analyst,100 LPA,2025-01-15,Yes,Yes,5,Yes,59.34,89.68,130.2,2.14,4,Yes,8,4,Medium,Waitlisted,Yes
22,Jennifer Jordan DDS,xjordan@yahoo.com,w2sr1XwU$n,0,0,b6aca3a5-fcef-43ae-a361-a6e93dc656b2,22,Bailey Guerra,scottronald@yahoo.com,5397984102,,2,OBC,Bachelor's,Jessica Savage,536.975.4822x525,Teacher,22,Electronics,5000000,3 Years,22,1,22,95761,2025-02-03,Debit Card,22,Time build until choose pay.,Behavior way between wrong arm finally customer.,22,Commerce,Catherine Miller,22,Robert Jones,dphillips@walker.biz,129.307.6230,22,Resume,2025-02-03,/wall/full.txt,22,Need-Based,Discover laugh outside cost.,500000,22,2025-01-30,22,"Reed, Martin and Hobbs",2025-01-25,0,22,Data Analyst,4 LPA,2025-01-28,No,Yes,9,Yes,69.63,87.73,174.31,3.58,1,Yes,13,1,High,Rejected,Yes
23,Anthony Vasquez,,%&AVRC#hq6,0,0,82b2c0ab-747e-4afe-a200-3ebd43e70d7d,23,Morgan Alvarado,hrichard@yahoo.com,+1-860-815-7945,https://www.lorempixel.com/503/695,0,OBC,PhD,Angela White,001-870-053-7674x2319,Engineer,23,Computer Science,123036,4 Years,23,0,23,41544,2025-01-09,Debit Card,23,Work stand should rather.,Condition sell window including.,23,Commerce,Kimberly Jordan,23,Melissa Pratt,john67@yahoo.com,270-931-3791x54292,23,Transcript,2025-02-03,/though/quite.gif,23,Need-Based,According design could it campaign.,46298,23,2025-01-27,23,Mckee Ltd,2025-01-29,0,23,Software Engineer,4 LPA,2025-01-30,No,Yes,9,Yes,55.35,99.79,139.13,3.58,1,Yes,15,1,High,Waitlisted,Yes
24,Karen Perez,caldwellbrandy@odonnell-wright.org,%29MVfSQrO,1,0,33ad196f-91fd-4b4b-927d-56419515a4e8,24,Jennifer Mitchell,hayeseric@campbell.net,804-711-3286,https://dummyimage.com/252x208,0,ST,Bachelor's,Kevin Edwards,001-409-053-1853,Other,24,Electronics,5000000,2 Years,24,1,24,36358,2025-01-15,Debit Card,24,Go environment close deep home.,That enough theory threat agency reality argue.,24,Science,Natasha Vasquez,24,William Jones,austin70@hotmail.com,(301)431-0354x5173,24,ID Proof,2025-01-16,/water/whole.jpeg,24,Sports Quota,Sell cultural physical memory season specific.,500000,24,2025-01-19,24,Holland-Contreras,2025-01-23,1,24,Manager,12 LPA,2025-02-08,No,No,7,Yes,65.38,83.12,87.84,3.51,5,No,15,5,High,Waitlisted,Yes
25,David Hopkins,janice39@gmail.com,m!!4!W5uCL,0,2,c0350f27-78e0-4148-bfb0-bc76c7efb6fd,25,Joe Patel,anitakennedy@yahoo.com,(520)036-1753,https://placekitten.com/438/734,2,SC,High School,Thomas Lewis,757.369.7616x9087,Business,25,Biotech,196067,4 Years,25,0,25,64071,2025-01-11,UPI,25,Along bag near positive else.,Study process real.,25,Engineering,Michelle Smith,25,Dennis Heath,rscott@combs-ramos.biz,577.834.9697,25,Resume,2025-01-18,/century/name.mov,25,Need-Based,Financial under guess produce face think reduce.,30807,25,2025-02-05,25,Cameron LLC,2025-01-24,0,25,Data Analyst,100 LPA,2025-02-09,Yes,Yes,7,No,82.45,96.4,53.02,2.38,0,Yes,17,0,Low,Rejected,Yes
26,Sheri Hobbs,toddchad@hotmail.com,IYGDdrhI)6,1,0,783641bb-4df4-4d77-b8eb-94389ac18191,26,David Velez,ashley15@gmail.com,+1-852-084-5528,https://placekitten.com/52/1013,0,SC,PhD,Andrew Moore,001-635-804-3911,Other,26,Biotech,69739,2 Years,26,0,26,124418,2025-01-21,Net Banking,26,She total huge us room world experience task.,Dream worker threat physical interesting.,26,Commerce,James Richardson,26,Kimberly Johnson,ycline@gmail.com,001-571-623-0840x613,26,Other,2025-01-31,/picture/inside.mp3,26,Sports Quota,Money according fund firm fly fire true.,38856,26,2025-01-12,26,"Mejia, Curtis and Ruiz",2025-02-04,2,26,Data Analyst,3 LPA,2025-02-10,Yes,No,6,Yes,92.28,57.75,113.36,2.66,4,Yes,18,4,High,Accepted,Yes
27,Raymond Hart,michaelcarrillo@yahoo.com,%#02OO^c*1,0,0,17e9a577-a362-48ef-a1cb-3ba3aee69c41,27,Dr. Cynthia Johnson,ucopeland@hotmail.com,(010)560-4550x843,https://www.lorempixel.com/57/1021,2,General,Master's,Audrey Price,319.372.4275,Engineer,27,Civil,5000000,2 Years,27,0,27,10000000,2025-02-06,Credit Card,27,Never race available inside their country easy.,Their law fact although individual threat role.,27,Arts,Charles Clark,27,Jennifer Barnes,campbellcynthia@shaffer.com,001-882-446-2749,27,Other,2025-02-01,/group/deep.avi,27,Need-Based,East mean sea over lead.,30695,27,2025-01-14,27,Strong Ltd,2025-01-13,0,27,Software Engineer,100 LPA,2025-01-18,No,No,9,Yes,96.14,51.04,116.78,3.43,2,Yes,7,2,Medium,Rejected,Yes
28,,ikoch@johnson-wilson.com,K1sl3sJj@Q,0,0,2f6e7847-e753-43b4-aa87-e41199550576,28,Darrell Bailey,nathanarmstrong@gmail.com,+1-570-605-3182x64150,https://placeimg.com/16/40/any,1,General,PhD,Richard Stout,+1-051-004-3936x43520,Business,28,Electronics,5000000,2 Years,28,0,28,10000000,2025-02-11,Debit Card,28,Son somebody child tonight.,Market civil fire reason factor exist.,28,Engineering,Roger Richardson,28,Tricia Patel,ctapia@collins.com,2021816734,28,Other,2025-01-12,/cup/whether.wav,28,Sports Quota,New lawyer market those a bank mean knowledge.,500000,28,2025-02-08,28,Reed-Herman,2025-01-07,1,28,Data Analyst,5 LPA,2025-01-20,Yes,No,3,No,85.87,80.41,65.02,2.21,4,Yes,10,4,Medium,Waitlisted,Yes
29,Robert Winters,thomas16@yahoo.com,6tj0WpW^)d,1,1,34f2b6e3-3f95-4aaf-996c-e9bf8fb5dfb0,29,Daniel Reed,martinezandrea@hotmail.com,944.207.8207,https://placeimg.com/388/256/any,1,General,Bachelor's,Ronnie Williams,748-313-7301x9200,Engineer,29,Mechanical,141463,2 Years,29,1,29,110934,2025-01-14,Net Banking,29,Time night if center summer power name.,Human we name law with camera.,29,Commerce,Alan Gould,29,William Herrera,sharon49@bell.com,4279249788,29,Transcript,2025-02-09,/she/charge.wav,29,Sports Quota,You box deep some court word cost.,500000,29,2025-02-01,29,"Tapia, Alvarez and Bradley",2025-01-30,1,29,Data Analyst,100 LPA,2025-02-09,No,No,8,Yes,97.75,93.94,37.41,2.92,5,No,11,5,Medium,Rejected,Yes
30,Brent Crawford,antoniorobinson@lee-briggs.com,224^kVsN&Q,1,2,a8201162-9052-4db9-a494-0c53bcb43696,30,Brian Jones,matthewbailey@buckley-harmon.net,416-751-3654x35460,,1,SC,Bachelor's,Jessica Bradford,+1-997-269-3648,Engineer,30,Mechanical,135289,2 Years,30,1,30,10000000,2025-01-12,Net Banking,30,Group home fact rock color agent.,Them best move eat.,30,Arts,Brittney Hernandez,30,Harry Cox,juan00@yahoo.com,+1-899-636-6668x30146,30,Other,2025-02-11,/agreement/night.wav,30,Need-Based,Movie national hard range security modern start.,500000,30,2025-01-29,30,Santos-Baldwin,2025-02-12,2,30,Intern,100 LPA,2025-01-28,No,No,5,Yes,91.05,87.28,145.71,2.17,2,No,17,2,Low,Rejected,Yes
31,William Klein,schoi@beck-taylor.org,%@i$p0PfjN,0,1,d78b5dd2-fbeb-4fda-abe2-b5b60b6efe62,31,Robin Fletcher,philip74@morrison-green.info,396.392.7971,,1,OBC,Master's,Richard Colon,668.572.4708,Business,31,Computer Science,5000000,3 Years,31,1,31,10000000,2025-01-10,Credit Card,31,Two heavy wall loss war card here.,Consumer activity view sea two country.,31,Science,Kellie Nunez,31,Heather Guerra,sharpmikayla@warren.net,001-002-443-0551x6126,31,Transcript,2025-01-29,/land/one.json,31,Sports Quota,Mouth per reality.,18113,31,2025-02-06,31,Davis-Manning,2025-01-28,0,31,Intern,11 LPA,2025-01-16,No,No,1,Yes,79.31,0,101.39,2.72,2,No,12,2,Low,Rejected,Yes
32,Angela Lawson,matthew43@hotmail.com,(+7JGtSjE7,1,0,4066bd66-b235-4d29-8ee9-c75d541129d7,32,Laura Foster,russelldickson@morales.net,871.750.4797,https://placekitten.com/478/153,2,OBC,High School,Mrs. Ashley Obrien DVM,929.610.7757x688,Business,32,Biotech,5000000,3 Years,32,1,32,10000000,2025-01-24,Debit Card,32,Right to start term home.,Before hotel actually involve mention decision time life.,32,Commerce,Melissa French,32,Victoria Harris,sanchezjames@hanson.biz,(622)767-8514x914,32,ID Proof,2025-02-08,/approach/reason.mov,32,Merit Scholarship,Sense billion happy above.,47224,32,2025-01-03,32,"Oconnor, Hansen and Ross",2025-02-10,2,32,Data Analyst,10 LPA,2025-01-03,No,No,5,Yes,91.02,90.99,107.33,2.9,5,No,4,5,Low,Waitlisted,Yes
